H_smooth,bin_midpoints,bins,H
0,10.361336110051615,10.0,0
0,11.110121087040294,10.722672220103231,0
0,11.913018674199009,11.497569953977356,0
0,12.773939439540474,12.32846739442066,0
0,13.697076556964172,13.219411484660288,0
0,14.686926229398697,14.174741629268055,0
0,15.74830958786789,15.199110829529339,0
0,16.88639617314164,16.297508346206442,0
0,18.10672911434034,17.47528400007684,0
0,19.415252127127154,18.73817422860384,0
0,20.818338462984656,20.09233002565047,0
0,22.322821950575225,21.544346900318846,0
0,23.93603028037436,23.101297000831604,0
0,25.66582069469199,24.770763559917114,0
0,27.520618256912442,26.560877829466868,0
0,29.509456886346086,28.48035868435802,0
0,31.64202335855572,30.538555088334157,0
0,33.928704485464294,32.74549162877728,0
0,36.38063770503799,35.11191734215131,0
0,39.00976532694511,37.64935806792467,0
0,41.82889269839806,40.37017258596554,0
0,44.85175057347919,43.28761281083057,0
0,48.09306198972446,46.4158883361278,0
0,51.56861397769211,49.770235643321115,0
0,55.29533445278263,53.3669923120631,0
0,59.29137466381695,57.22367659350217,0
0,63.57619759994428,61.35907273413173,0
0,68.17067278647164,65.79332246575683,0
0,73.09717793132468,70.54802310718645,0
0,78.37970791721582,75.64633275546291,0
0,84.04399167037354,81.11308307896873,0
0,90.11761747505017,86.97490026177834,0
0,96.630167344161,93.26033468832199,0
0,103.61336110051616,100.0,0
0,111.10121087040294,107.22672220103232,0
0,119.13018674199007,114.97569953977356,0
1,127.73939439540473,123.28467394420659,2
3,136.97076556964169,132.19411484660287,7
48,146.86926229398688,141.74741629268047,42
137,157.48309587867882,151.99110829529332,142
493,168.8639617314163,162.97508346206433,485
1377,181.06729114340328,174.7528400007683,1353
3311,194.15252127127144,187.3817422860383,3280
6632,208.1833846298465,200.92330025650458,6669
11882,223.22821950575224,215.44346900318845,11877
19362,239.3603028037436,231.01297000831605,19505
27248,256.6582069469199,247.70763559917114,27528
35498,275.20618256912445,265.6087782946687,36193
41597,295.0945688634609,284.8035868435802,42077
43868,316.4202335855572,305.3855508833416,44754
42602,339.287044854643,327.45491628777285,43855
38298,363.8063770503799,351.1191734215131,39525
32158,390.09765326945126,376.49358067924675,34032
25820,418.28892698398096,403.70172585965577,27322
19573,448.51750573479217,432.87612810830615,21185
14516,480.9306198972448,464.1588833612782,15875
10725,515.6861397769213,497.7023564332114,11857
7435,552.9533445278266,533.6699231206312,8454
5396,592.9137466381699,572.236765935022,6220
3911,635.7619759994429,613.5907273413176,4463
2682,681.7067278647164,657.9332246575682,3179
1948,730.9717793132468,705.4802310718645,2240
1285,783.7970791721582,756.463327554629,1655
995,840.4399167037353,811.1308307896873,1214
713,901.1761747505017,869.7490026177834,870
510,966.30167344161,932.60334688322,670
351,1036.1336110051616,1000.0,479
249,1111.0121087040293,1072.2672220103232,336
154,1191.3018674199006,1149.7569953977356,256
122,1277.3939439540472,1232.8467394420659,155
62,1369.7076556964166,1321.9411484660286,118
55,1468.6926229398691,1417.4741629268049,85
47,1574.830958786789,1519.9110829529332,63
26,1688.6396173141648,1629.750834620645,41
12,1810.6729114340349,1747.5284000076847,16
11,1941.5252127127164,1873.817422860385,8
5,2081.833846298466,2009.2330025650479,15
1,2232.2821950575226,2154.4346900318847,6
2,2393.603028037436,2310.1297000831605,5
3,2566.5820694691993,2477.0763559917114,3
2,2752.0618256912444,2656.0877829466867,5
0,2950.945688634609,2848.035868435802,2
0,3164.202335855572,3053.8555088334156,0
0,3392.8704485464295,3274.5491628777286,0
0,3638.063770503799,3511.191734215131,0
0,3900.9765326945108,3764.9358067924672,0
0,4182.889269839805,4037.017258596554,0
0,4485.175057347919,4328.761281083057,0
0,4809.306198972448,4641.588833612782,0
0,5156.861397769213,4977.023564332114,0
0,5529.533445278266,5336.699231206313,0
0,5929.137466381699,5722.3676593502205,0
0,6357.61975999443,6135.907273413176,0
0,6817.067278647164,6579.332246575683,0
0,7309.717793132468,7054.8023107186455,0
0,7837.970791721582,7564.633275546291,0
0,8404.399167037354,8111.308307896872,0
0,9011.761747505017,8697.490026177835,0
0,9663.0167344161,9326.0334688322,0
0,0.0,10000.0,0
