Hmask,m_g_mids,m_g_bins,H
0,32.22085399008161,-32.43013992612032,157
0,31.80228211800417,-32.01156805404289,920
0,31.383710245926743,-31.592996181965457,3653
0,30.965138373849314,-31.17442430988803,27172
0,30.54656650177188,-30.755852437810596,229122
0,30.12799462969445,-30.337280565733167,1112732
0,29.70942275761702,-29.918708693655734,2793304
0,29.29085088553959,-29.500136821578305,3066769
0,28.87227901346216,-29.081564949500873,2584998
0,28.45370714138473,-28.662993077423444,2386547
0,28.035135269307297,-28.244421205346015,2073530
0,27.616563397229868,-27.825849333268582,1785204
0,27.197991525152435,-27.40727746119115,1526843
0,26.779419653075006,-26.98870558911372,1273004
0,26.360847780997574,-26.570133717036292,1072919
0,25.942275908920145,-26.15156184495886,926098
0,25.523704036842716,-25.73298997288143,810691
0,25.105132164765283,-25.314418100803998,718078
0,24.686560292687854,-24.89584622872657,656413
0,24.267988420610422,-24.47727435664914,611207
0,23.849416548532993,-24.058702484571707,572809
0,23.43084467645556,-23.640130612494275,536927
0,23.01227280437813,-23.221558740416846,497886
0,22.5937009323007,-22.802986868339417,458589
0,22.17512906022327,-22.384414996261984,422677
0,21.756557188145838,-21.965843124184552,400801
0,21.33798531606841,-21.547271252107123,388963
0,20.91941344399098,-21.128699380029694,357979
285508,20.500841571913547,-20.710127507952265,293231
213167,20.082269699836118,-20.291555635874833,213167
128632,19.663697827758686,-19.8729837637974,128632
62847,19.245125955681257,-19.45441189171997,62847
25136,18.826554083603824,-19.035840019642542,25136
9388,18.407982211526395,-18.61726814756511,9388
3997,17.989410339448963,-18.198696275487677,3997
1988,17.570838467371534,-17.780124403410248,1988
962,17.1522665952941,-17.36155253133282,962
356,16.733694723216672,-16.942980659255387,356
106,16.315122851139243,-16.524408787177958,106
35,15.89655097906181,-16.105836915100525,35
0,0.0,-15.687265043023096,0
